model_name,test_size,test_size_label,run_count,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,validation_samples_mean,fit_seconds_mean,total_seconds_mean
tfidf_logreg,0.2,20%,3,"42,52,62",0.921899617375647,0.002728866903664749,0.8461065295735152,0.00399494692172003,1481.0,0.46304263900007453,0.5375982916672607
tfidf_svm,0.2,20%,3,"42,52,62",0.925050641458474,0.005097795027191601,0.8391368315040689,0.012805475940494323,1481.0,0.2914960136664983,0.3267804306669859
tfidf_logreg,0.3,30%,3,"42,52,62",0.9176046825754165,0.0016233909389752582,0.8354429072227011,0.002585066188123688,2221.0,0.36310033333332586,0.44914849966698966
tfidf_logreg,0.4,40%,3,"42,52,62",0.9141055949566588,0.003547439211209924,0.827323062846625,0.00904032051751491,2961.0,0.33714462533377326,0.45072623599965783
tfidf_svm,0.3,30%,3,"42,52,62",0.9183550953024163,0.00472938653957343,0.8212630903519273,0.013391027907786478,2221.0,0.2543994723328069,0.3066815413336978
tfidf_svm,0.4,40%,3,"42,52,62",0.9152313407632556,0.0038948201940799216,0.8134173525334227,0.010994000542688656,2961.0,0.2090519030013335,0.2759449440000026
tfidf_nb,0.2,20%,3,"42,52,62",0.891064595993698,0.00849632504531935,0.6853606948741048,0.03761266048523888,1481.0,0.23736443066627544,0.2726888333333288
tfidf_nb,0.3,30%,3,"42,52,62",0.8886387513132222,0.003639308315468173,0.67208224973911,0.019666373526290058,2221.0,0.21806616633390755,0.27114193066699954
tfidf_nb,0.4,40%,3,"42,52,62",0.885624226049758,0.0027506004104177924,0.6592283298824557,0.01561326052421802,2961.0,0.19485145833459683,0.26097183299983345
